Entity,Code,Day,people_vaccinated
Afghanistan,AFG,2021-02-22,0
Afghanistan,AFG,2021-02-28,8200
Afghanistan,AFG,2021-03-16,54000
Afghanistan,AFG,2021-04-07,120000
Africa,,2021-01-09,0
Africa,,2021-01-13,2000
Africa,,2021-01-15,4000
Africa,,2021-01-16,7000
Africa,,2021-01-19,10976
Africa,,2021-01-20,13163
Africa,,2021-01-22,16890
Africa,,2021-01-23,18353
Africa,,2021-01-24,18353
Africa,,2021-01-25,19889
Africa,,2021-01-26,22712
Africa,,2021-01-27,25587
Africa,,2021-01-28,28779
Africa,,2021-01-29,30861
Africa,,2021-01-30,30861
Africa,,2021-01-31,30861
Africa,,2021-02-01,35286
Africa,,2021-02-02,36491
Africa,,2021-02-03,37401
Africa,,2021-02-04,37401
Africa,,2021-02-05,37401
Africa,,2021-02-06,37903
Africa,,2021-02-08,38028
Africa,,2021-02-09,38037
Africa,,2021-02-10,38040
Africa,,2021-02-11,38266
Africa,,2021-02-12,38266
Africa,,2021-02-13,42113
Africa,,2021-02-15,42122
Africa,,2021-02-16,42129
Africa,,2021-02-17,45789
Africa,,2021-02-18,48831
Africa,,2021-02-19,2411218
Africa,,2021-02-20,2505541
Africa,,2021-02-21,2511031
Africa,,2021-02-22,2624317
Africa,,2021-02-23,2723435
Africa,,2021-02-24,3016541
Africa,,2021-02-25,3291409
Africa,,2021-02-26,3481253
Africa,,2021-02-27,3604497
Africa,,2021-02-28,3612224
Africa,,2021-03-01,3758323
Africa,,2021-03-02,3858371
Africa,,2021-03-03,3962562
Africa,,2021-03-04,4056192
Africa,,2021-03-05,4207353
Africa,,2021-03-06,4333320
Africa,,2021-03-07,4374021
Africa,,2021-03-08,4647941
Africa,,2021-03-09,4722602
Africa,,2021-03-10,4925316
Africa,,2021-03-11,4995777
Africa,,2021-03-12,5052916
Africa,,2021-03-13,5209785
Africa,,2021-03-14,5226308
Africa,,2021-03-15,5323203
Africa,,2021-03-16,5364358
Africa,,2021-03-17,5410972
Africa,,2021-03-18,5597968
Africa,,2021-03-19,5644534
Africa,,2021-03-20,5665861
Africa,,2021-03-21,5687409
Africa,,2021-03-22,5716008
Africa,,2021-03-23,5781308
Africa,,2021-03-24,6348781
Africa,,2021-03-25,6408211
Africa,,2021-03-26,6513640
Africa,,2021-03-27,6574312
Africa,,2021-03-28,6830498
Africa,,2021-03-29,6917264
Africa,,2021-03-30,6998616
Africa,,2021-03-31,7330287
Africa,,2021-04-01,7486600
Africa,,2021-04-02,7563583
Africa,,2021-04-03,7647127
Africa,,2021-04-04,7710803
Africa,,2021-04-05,7804704
Africa,,2021-04-06,8099306
Africa,,2021-04-07,8412612
Africa,,2021-04-08,8550033
Africa,,2021-04-09,8664853
Africa,,2021-04-10,8722991
Albania,ALB,2021-01-10,0
Albania,ALB,2021-01-12,128
