标题,时间,URL,正文内容,来源
有关疫苗的那些事～,潇湘晨报,https://baijiahao.baidu.com/s?id=1696922393603261907&wfr=spider&for=pc,相对于疾病所造成的致死、致残风险和经济、精神损失，接种疫苗的费用是很少的。接种疫苗是预防传染病最有效、最经济的手段。疫苗怎么分类？疫苗分为两类，一类疫苗和二类疫苗。一类疫苗是指政府免费向公民提供，公民应当按照政府的规定受种的疫苗二类疫苗是指由公民自费并且自愿受种的其他疫苗我国疫苗接种政策实施国家免疫规划，目的就是在人群中有计划地进行预防接种，以预防和控制特定传染病的发生。现纳入国家免疫规划的疫苗种类有乙肝疫苗、卡介苗、脊髓灰质炎疫苗、百日咳白喉破伤风联合疫苗、麻疹风疹联合疫苗、麻疹风疹腮腺炎联合疫苗、A群流脑疫苗、A＋C群流脑疫苗、乙脑疫苗、甲肝疫苗、白喉破伤风联合疫苗、出血热疫苗、炭疽疫苗和钩端螺旋体疫苗，预防15种传染病。我国对儿童实行预防接种证制度儿童出生1个月内应办理预防接种证，每次接种疫苗时应携带预防接种证，儿童在入托、入学时需要查验预防接种证。预防接种是儿童的基本权利，儿童监护人应按照免疫程序按时带孩子接种疫苗，因故错过接种的要尽快补种。采 编：许瑞英责任编辑：李嫣婷素材来源：《健康素养66条》供 稿：健康教育所【来源：庆阳疾控】声明：转载此文是出于传递更多信息之目的。若有来源标注错误或侵犯了您的合法权益，请作者持权属证明与本网联系，我们将及时更正、删除，谢谢。 邮箱地址：newmedia@xxcb.cn,
"打新冠疫苗前,有件事一定要告诉你",深圳卫视,https://baijiahao.baidu.com/s?id=1696923294258419948&wfr=spider&for=pc,说实话，打之前没少听别人说打疫苗怎么怎么痛，出发之前给自己做了好久的思想工作，准备这副老脸都不要的了，哭也豁出去了！然而，我草率了，到了现场，完全不敢哭好吗！！！因为真的，不疼！瞬间有种被欺骗了的感觉！（谁告诉我痛得跟杀猪现场似的），我甚至有种错觉——打完这重要而庄严的一针，我兴奋地晒了个证、发了个朋友圈炫耀！结果还没一会，朋友圈的评论出奇地一致：「啥感觉？疼吗？」▲图片来源：自己截的很能理解，毕竟打针怕疼，是自小就刻在骨子里的。这场轰轰烈烈的全民疫苗行动，让数千万成年人回想起了小时候被打针支配的恐惧，还有另外十几亿人，正在犹犹豫豫地围观……▲图片来源：网络新冠疫苗怎么打的？到底疼不疼？为了让我们的“现身说法”更有说服力，我们特意咨询了专家「怎么打针不会疼」，来来来，不看会后悔系列，为大家一次性详细说明白。01打针方式不一样痛感完全不同同样是打针，其实也有着多种打法。你可以安心的是，新冠疫苗的打法，已经是非常不痛的那种～打针一般可以分为四类：肌肉注射、皮下注射、静脉注射、皮内注射。不同的打法，要求的进针角度不同，触达的组织也不同，当然，疼痛感也完全不一样。皮内注射，最疼这种打针方式几乎贴着皮肤注射，一般只有 10～15° 的倾斜，往往是在皮肤的表皮层试探。由于表皮层的质地最为紧密，把药液注射进去自然阻力最大，因此也是最疼的一种打法。请回想一下打青霉素前做的「皮试」，你将迅速理解这种打法的痛。▲图片来源：soogif静脉注射，斜着扎进血管里此针式要求护士不偏不倚、不多不少的，将针头以 25° 夹角插入血管内。我们自小打过的吊针、每次体检的抽血，都是这种方式。皮下注射，有一点点酸爽这种针法非常考验护士的功力，需要将针头以 45° 角插入皮下，直到皮下组织，让注射液在那里迅速发挥效力。比如在医院时为糖尿病患者注射的胰岛素、童年的麻腮风疫苗、拔牙前的局麻，其实都是采用的这种方式。虽然不会被痛哭，但还是会让人忍不住龇牙咧嘴一下。肌肉注射，垂直进针最不疼垂直于皮肤 90° 进针，轻松触达皮下肌肉层。由于肌肉的容纳程度高，药液不会堵塞，因此是最不痛、最温和的注射方式了。大多数疫苗都是通过肌内注射的方式给药，例如乙肝疫苗，百白破疫苗和 HPV 疫苗，以及我们今天要聊的——新冠疫苗。眼睛一闭一睁，痛感就过去了。02针头细，药量少，越不痛如果说打针的方式，是决定疼痛度的第一要义，那么针头的粗细，自然紧随其后。针头越细，越不痛，几乎是任何一个有生活经验的人的体验。毕竟一个超大号的粗针头拿在手里，说不疼那也是没人信的。别怕，新冠疫苗的针头一般是用下图里最细的～皮肤和组织中，分布着非常密集的感受神经，它们会把痛感传递给大脑，让我们产生痛的感觉。针头越细时，刺激到的感受神经会越少，也就没那么痛了。例如抽血（又叫「静脉穿刺」）的针头（图 a），直径通常在 0.7～0.8 mm之间，虽然谈不上闻之色变的粗，但着实是不算细的。图片来源：参考文献而疫苗就不一样了，注射疫苗用的针头直径一般只有 0.5～0.6 mm（图 b），宛如小家碧玉，温温柔柔。用这种针头注射，只有大约 50% 的人会有疼痛感，不敏感的人可能只感觉被轻轻戳了一下。打新冠疫苗的针头，也是细针头，堪称「微痛针头」。当然了，即使注射方式是最无痛的，针头也是极细不太痛的，但如果拿着一大管注射液注射，也可能让人痛得想哭。毕竟，注射剂量对疼痛度的影响也至关重要。▲图片来源：soogif说到这里再带给大家一条好消息——肌内注射通常药量不大，一般一次的注射限额为 2～5 毫升。而新冠疫苗——每剂只需 0.5 毫升，远远小于注射的容积限额，痛感极小。过来人的经验告诉大家！打针之前确实有点紧张，但护士小姐姐的操作「稳准狠」，从扎进去到打完也就几秒，还没反应过来就结束了。不过，要说完全不疼，那也确实有点绝对了……03打的时候不疼打完有点酸痛「疫苗」一般是各种针里比较疼的。但不是打的时候疼，而是打完之后。疫苗的原理是诱导免疫反应，因此，疫苗的成分中，一定会含有经过处理的病原体成分。另外，疫苗中的佐剂也会加强免疫反应。这些成分虽然不会直接引起疾病，但是会通过刺激免疫系统引起免疫反应，因而可能导致注射部位红肿、疼痛，有些不适。在很多新冠疫苗的注射说明中也有提到，24 小时内注射部位可能出现一些常见不良反应。不少已经打过疫苗的人也反馈说，注射后胳膊会有酸痛感。打疫苗时卫生中心发的接种说明（看不清可点击看大图）不过这样的反应，通常会在 2～3 天内消失，大家不用慌。那么现在，让我们再回到开头的问题——要打新冠疫苗了，怕疼，怎么办？真不用怕！毕竟……从各个维度来说，新冠疫苗已经是最不痛的针之一了，如果还觉得痛，那大概率也是因为你正青春，还年轻（据国外新冠疫苗注射数据：年轻人更容易痛）,
"1.6亿剂全部自用!美国疫苗出口量为0,中国疫苗无偿援助80个国家",金十数据,https://baijiahao.baidu.com/s?id=1696923276157731029&wfr=spider&for=pc,在新冠疫情尚未完全得到控制的情况下，产疫苗、买疫苗、打疫苗依旧是各国最重要的事，而在疫苗供不应求的情况下，多个国家都在为疫苗不够用而发愁，唯独一个国家是例外——美国的疫苗过剩到要出现浪费了。1.64亿剂！第二大新冠疫苗生产国，出口量为0微信公众号“人民日报国际”4月12日消息称，追踪疫苗进展的分析公司Airfinity发布的报告显示，截至3月，美国已成为全球第二大新冠疫苗生产国，产量达1.64亿剂，但这些疫苗“全部自用”，出口量为0；若加上已订购的8亿剂疫苗，美国已拥有足以供4.5亿人接种的疫苗，远远超过该国3.3亿人口。就连美国媒体“Axios新闻网”也看不下去，表示在全球数十亿人焦急地等待疫苗时，却有3000万剂疫苗在俄亥俄州的仓库里吃灰。按照美国代表人士的说法，美国不出口疫苗，是为了加快疫苗接种的进程，进而更快地遏制新冠病毒的传播。为此，该国在2020年底前，还颁布政令，规定只有在3.3亿美国人的疫苗接种需求得到满足后，当地疫苗供应商才可向其他国家出口疫苗。对此，日本媒体指出，“美国延续了一贯的‘美国优先’路线”。可惜的是，虽然想方设法囤积了大量疫苗，并花了大力气加快疫苗接种速度，美国的疫情形势依旧难言乐观。人民网4月13日援引美媒消息称，截至4月8日，美国过去7天的日均新增新冠确诊病例数达到了81303例，与14天前相比增长了13%；该国总确诊病例已超过3106万。分析指出，这意味着目前美国的疫苗接种远未达到群体免疫的水平，在此情况下，美国与其他国家分享疫苗的可能性微乎其微。富国抢购85%疫苗，穷国最少只有25剂！中国疫苗惠及80国要知道的是，在疫苗供不应求的情况下，全球疫苗的分配本就不均，美国囤积疫苗的行径无疑加重了这一现象。《柳叶刀》公布的数据显示，占世界人口16%的富裕国家已经购买了全球70%的疫苗；世卫组织的数据还显示，在个别国家疫苗多到生灰的情况下，个别贫穷国家全国获得的疫苗只有25剂。没有疫苗的国家怎么办？只能将希望寄托在中国疫苗上，用美国媒体的话来说，发展中国家24亿至30亿剂的疫苗缺口或许都需中国疫苗来补足。需要注意的是，根据该家媒体统计，目前全球疫苗已被发达国家预订85%。据悉，与美国始终贯彻“美国优先”不同，中国一直在贯彻“疫苗是全球公共产品”理念，并积极推动全球范围内疫苗的公平分配，为此，我国还加入了世卫组织新冠疫苗实施计划。截至目前，我国已无偿向80个国家和3个国际组织提供疫苗援助。值得期待的是，据中国疫苗行业协会会长介绍，2022年中国新冠疫苗产能有望达到50亿剂，约占全球产能的一半。分析指出，这对将进一步缓解全球范围内疫苗分配不公的情况。文 | 李银苏   题 | 凌明  图 | 卢文祥   审 | 曾艺,
"国产疫苗出口多国,中国突然承认疫苗有效率不高?BBC果然没安好心",3小时前,https://new.qq.com/omn/20210413/20210413A07S3300.html,如今为了控制新冠疫情，很多款由不同国家研制的新冠疫苗也成功上市，然而就是这些能挽救疫情局势的疫苗，却成为了部分媒体，攻击其他国家的手段。近日，英国广播公司（BBC）就又拿中国疫苗发布假新闻，借中国官员之口，断章取义造谣不实信息，这种行为自然引起了多方指责，不过即使BBC的报道辐射全球范围极广，但是对于真正了解中国疫苗的国家来说，并不会认同BBC的做法。据环球时报报道，日前中国疾控中心主任高福，在接受媒体采访时表示，他对于有关疫苗的介绍，已经被一些媒体故意曲解，他想要表达的是提高疫苗有效率的一种思路，而并非“承认中国疫苗有效率”不高。高福表示，全球各款疫苗的有效率并不相同，因此如何可以提高疫苗有效率，是所有相关专家都需要考虑的问题。高福的亲自出面解释，为的就是让外界不要恶意解读，但是BBC却跳出来继续造谣，报道假新闻称，中国官员承认其国产疫苗的有效性并不高。而且中国的部分疫苗在国外接受测试以后，显示出的有效率只有50%。甚至BBC还直言，中方曾表态称，外国人在接种了中国疫苗之后，将能更顺利的获得中国签证。通过如此虚假的新闻，完全能看出BBC其实并没有安什么好心。按照世卫组织制定的疫苗标准，只要有效率达到50%，疫苗就能算作是合格。所以这与BBC报道的“中国疫苗没什么大用”，有很大区别。而且中国疫苗在部分国家进行的测试中，有效率最高能达到91%，这也完全能说明BBC断章取义，报道不实内容。至于外国人接种中国疫苗，能更顺利来华一事，其实我国外交部发言人华春莹，在3月24日的例行记者会上，就明确给出了回应。她当时表示，在3月中旬，中国驻外使领馆发布了关于对接种中国疫苗的来华人员提供便利的消息，对此西方再次相关问题政治化，中方之所以这样安排，是基于中国疫苗的安全性和有效性，也是对全球开启疫苗工作后，各国间跨境人员往来的积极探索和尝试，并没有针对任何人员的想法。而对于没有接种中国疫苗的来华人员的政策，也不会受到任何影响。所以总得来看，BBC的不实报道总会有事实能将其否定，因此作为知名媒体，BBC还是不要过于放肆比较好。,腾讯网
"李兰娟院士来重庆了!关于疫苗,她这样说",1小时前,https://new.qq.com/omn/20210413/20210413A0B3TD00.html,4月8日，中国工程院院士、传染病学专家李兰娟到重庆市九龙坡区奥体中心大型新冠疫苗临时集中接种点，现场视察指导疫苗接种工作，并前往九龙坡区人民医院接诊了多位病人。李兰娟前往重庆首个方舱式新冠疫苗临时接种点 陈林 摄国产疫苗安全可靠，可放心接种重庆九龙坡区奥体中心的方舱式接种点由体育场改建而成，占地2000平方米，分为等待区、预检区、接种区、留观区、异常反应急救区等8个区域。李兰娟一边与当地工作人员交流，一边在每个区域都进行停留观察。她表示，国产新冠疫苗从无到有一步一步走到今天，无论是研发还是生产水平，在国际上都处于领先地位。目前，国产疫苗在国内已经安全接种超过了1亿剂次。我国也是全球唯一拥有三种不同工艺新冠疫苗并批准使用的国家。之前建议60岁以上人群暂缓接种，但从前期的接种情况来看，中国的疫苗是非常安全的，因此现在60岁以上人群也可以接种疫苗。,腾讯网
"儿童什么时候可以打疫苗,他们更容易感染变种病毒吗?",46分钟前,http://www.thepaper.cn/newsDetail_forward_12174919,山姆在辛辛那提儿童医院参加了辉瑞新冠疫苗的试验，这是他打完第二剂后的反应。作为一名护士研究员，他的妈妈蕾切尔（Rachel）感到很难过。“他看起来很痛苦，”蕾切尔说。“理论上了解疫苗的副作用是一回事，但作为一个母亲，看到他那么不舒服，我真的觉得挺不好受的。”她一直鼓励孩子参加这项临床测试，但现在觉得很内疚。“我很抱歉，”她说。山姆对妈妈的反应感到迷惑不解。“我很高兴，”他回答说。“这说明我肯定是分到了真正的疫苗！”他说他一开始就愿意参与研究，“因为这将有助于科学和战胜疫情。这是我向一线工作人员表达谢意的方式，是他们让我们保持健康。”山姆的姐姐、14岁的奥黛丽也参与了这项研究，她说：“这多好呀，等我老了，我可以告诉我的孩子和孙子，我曾经帮助科学家研制疫苗。”她也觉得有必要让不同年龄和族裔的人都能参与研究（他们一家都是亚裔）。唯一有点遗憾的是，她打完第二针后感觉很好。“我现在有点嫉妒弟弟，”她说。“山姆、奥黛丽和大约3000名儿童正在参与辉瑞、莫德纳（Moderna）和强生针对未成年人的临床试验，目前，美国没有一种疫苗被批准用于16岁以下儿童。但现在看来进展良好：3月31日，辉瑞公司报告称，在12岁至15岁的儿童中进行的试验发现，该疫苗100%有效，参与者没有出现任何异常的副作用。4月9日，该公司已经将研究结果提交给美国食品和药物管理局（Foodand Drug Administration，简称FDA） ，并要求FDA扩大其紧急使用授权，以便允许其疫苗用于12岁-15岁的青少年。（其他公司针对这一年龄组的试验仍在进行中，而辉瑞针对更低龄儿童的试验将更晚得到结果。）这些试验为美国进一步接近群体免疫带来了新的希望。今年3月，美国疾病控制与预防中心（CDC）发布了疫苗接种指南。根据指导方针，那些获得完全接种的人现在可以与其他接种疫苗的人一起在室内相聚，不用再戴口罩，许多家庭已经在策划暑假旅行，但是家长们很想知道：孩子们什么时候能打上疫苗；如果没有接种疫苗，他们是否可以正常地回学校复课或者一起旅游；这波英国变种疫苗对儿童是不是又格外有杀伤力。,澎湃新闻
"打新冠疫苗,普法妹这样告诉你",湖北身边的事,https://baijiahao.baidu.com/s?id=1696921585974844631&wfr=spider&for=pc,"打新冠疫苗，普法妹这样告诉你百度首页登录打新冠疫苗，普法妹这样告诉你湖北身边的事发布时间: 04-1318:30武汉晨报官方帐号,优质创作者你打疫苗了吗？A.还没有B.已接种C.没有收到通知D.还没想法我们一起打疫苗，一起苗苗苗苗苗~在这个春暖花开的季节很多人都乘上了驶向新冠疫苗注射点的幸福专车就在这几天我们几个小伙伴也去打了说实话打之前没少听别人说打疫苗怎么怎么痛甚至还给自己做了好久的思想工作直到轮到我接种的时候（感觉）完全不疼好吗！我国目前正在应接尽接、按梯次，对重点地区、重点人群、重点城市加快推进新冠疫苗接种。各地为了鼓励民众接种疫苗推出了许多举措↓↓↓疫苗接种标语，又上新！全国多地街头出现了朗朗上口的标语“相信国家相信党，疫苗在身你最强”“防疫道路千万条，接种疫苗第一条”“每个人的身上都有苗苗  让我为你打苗苗”“我们一起打疫苗 一起苗苗苗苗~”“朋友一生一起走 先打疫苗再聚首”......看了这么多“花式开打”你还在等什么？新冠疫苗安排起来~漫画来源：青岛市常态化疫情防控工作专班综合督查部保护自己，保护家人大家也要尽快接种疫苗哦~来源：州司法局、榆林日报◆编 辑：吕 航 ◆责 编：黄 鹄 ◆审 发：李启佑",
"疫苗成病毒“帮凶”,美疫苗接种后感染率更高,西方衰落肉眼可见",排头观察,https://baijiahao.baidu.com/s?id=1696910728811684387&wfr=spider&for=pc,据路透社报道，特拉维夫大学及以色列医疗服务机构克拉利特研究所公布的最新研究结果显示，接种了2剂辉瑞疫苗后仍确诊的患者，感染南非发现的变异病毒的几率，是未接种疫苗者的将近8倍。研究的方式简单直接，并且样本数量不小。研究团队将800名感染南非发现的变异病毒的新冠患者分成了两组，第一组是没有接种疫苗的确诊患者，第二组是接种了辉瑞疫苗14天后仍然确诊的患者。研究结果显示，第一组的感染率是0.7%，第二组的感染率5.4%。特拉维夫大学专家斯特恩表示，接种两剂疫苗的患者，感染南非发现的变种病毒的几率更高，这意味着，该病毒能够“突破”辉瑞疫苗的保护作用。专家的话已经说得比较委婉了，实际情况已经不只是“突破”那么简单了，在一定程度上，可以说辉瑞疫苗成了病毒的“帮凶”，让接种过的人，更容易感染变种新冠病毒。在本月初的时候，美国辉瑞（Pfizer）及德国BioNTech公司表示，辉瑞疫苗对南非发现的变种新冠病毒有效，从现在的研究结果来看，情况跟药厂说的并不一样。不过辉瑞方面并没有 给出任何回应，一直缄口不言。这个态度并不出乎预料，辉瑞一直都非常“傲娇”，在新冠疫苗的问题上，从来都是爱用不用的态度，现在还是一样的。辉瑞之所以有恃无恐，是因为辉瑞疫苗现在是抢手货，西方阵营使用的主流疫苗就两款，一款是辉瑞疫苗，另一款是阿斯利康疫苗。阿斯利康疫苗已经被证实会引发血栓症状，很多国家都对接种阿斯利康疫苗进行了限制。并且民众也不愿意接种阿斯利康疫苗，很多欧洲人在预约到阿斯利康疫苗后，宁愿放弃机会，也不会冒着风险接种。阿斯利康疫苗不行，辉瑞自然是一家独大，欧洲、加拿大、澳大利亚等国家，现在都在眼巴巴地盼着辉瑞疫苗，既然不愁卖，辉瑞也就没有什么压力了，要是觉得辉瑞不好，那就去用别的好了。放眼全球，已经大规模使用的疫苗当中，最靠谱的还是中俄疫苗，安全性是非常有保障的。反观西方的几款疫苗，各种事故频频发生。就说辉瑞疫苗，也是问题不断，在以色列、欧洲等多个国家，都出现过接种辉瑞疫苗后死亡的案例，美国国内更是不计其数，死亡案例最少有4位数。此外，除了阿斯利康疫苗会引发血栓症状外，美国的强生疫苗现在也被证实会导致血栓症状。近代科学一直西方国家主导的，现在却连疫苗都整不明白，欧盟成员，至今连一款自研的疫苗都没有，正在抢着用的疫苗，都存在各种各样的不安全因素。可以说西方国家的衰落已经是肉眼可见了。,
北京:93所高校新冠疫苗接种总体比例达到82.7%,中国青年报,https://baijiahao.baidu.com/s?id=1696922436783510383&wfr=spider&for=pc,中国青年报客户端北京4月13日电（中青报·中青网记者 樊未晨）记者今天从北京市教委了解到，按照北京市疫苗接种工作统一部署，首都高校自3月16日春季学期学生集中返京返校开始，陆续大规模组织在校师生员工进行了新冠疫苗集中接种。截至4月12日，93所高校师生员工中已有85.4万人接种了新冠疫苗，总体接种率达到了82.7%，学生接种比例超过了84.8%。据了解，为强化校地协同，首都93所高校均成立了疫苗接种工作专班，及时与属地进行对接，协同推动高校疫苗接种工作。为方便高校师生、减少人员流动，普遍在学校设置集中接种点，不具备设置校内集中接种点的高校，按照就近原则安排师生员工到各区指定接种点接种，确保师生安全。北京科技大学利用学校专门开发的“学生疫苗接种预约小程序”进行预约接种，将教职员工接种时段与学生分开，有序错峰，接种现场还专门设置了“女士接种室”“心理驿站”等，让疫苗接种暖人暖心。各高校建立了师生员工接种后出现不良反应的点对点救治机制，同时还对师生进行接种后3日的健康监测。北京建筑大学通过组建校医务室医护人员工作站、学生志愿服务团、心理教师工作组等为师生提供健康监测帮助，辅导员、班主任深入到学生宿舍了解接种后的健康情况，做好回访，后勤部门提供“疫苗接种”暖心餐食，为已接种疫苗师生员工提供周到的服务。各高校还组织广大学生积极参与疫苗接种志愿服务，在志愿服务中上好疫情防控这堂“大思政课”。北京大学发动青年学生参与疫苗接种志愿服务，有的学生党支部、团支部全体成员集体报名、主动请缨。北京航空航天大学根据每日接种数量，招募学生志愿者做好现场组织与秩序维护、信息登记等工作，同时安排志愿者为老年人提供帮助，为外籍人士提供翻译服务等。来源：中国青年报客户端,
疫苗也无法终结新冠?世卫发出警讯:全球疫情处于错误轨道,2小时前,http://dy.163.com/article/G7FS199H0534NABM.html,"新冠疫情已经爆发快两年的时间了，然而目前全球的疫情依旧非常严重，很多国家的感染人数依旧在持续地增加，甚至还打破了单日新增的记录。据相关媒体报道，目前巴西的单日新增死亡人数已经超过了4000人，累计死亡人数也超过了34万，仅次于美国，要知道巴西的人数仅为美国的一半，因此巴西也超越了美国，成为全球疫情的新震中。更令人揪心的是，巴西疫情并没有好转的迹象，累计确诊患者人数和死亡患者人数，这两大数据还在以极快的速度增长，专家预计此后的情况将会更加严重，而作为本国的执政者博索纳罗却一直没有采取有效的措施，即便是在采购疫苗方面，也是拖拖拉拉，让人不得不为巴西人民捏把汗。对此，世界卫生组织都向全球发出了警讯，表示全球疫情处于错误的轨道当中！的确，眼下的世界各国都把疫苗当成了救命稻草，可对于防控疫情的源头却很难采取有效的措施，导致人与人的接触依旧密集。尽管有不少人接种了新冠疫情，可面对变异的新冠病毒，没有人知道疫苗的作用到底有多大，一旦疫苗失效，那么全球疫情将会再次回到起点，这才是世卫组织最担心的事情。疫情防控依旧不能放松尽管中国国内的疫情控制的非常好，然而这依旧不能让我们有丝毫的放松，因为疫情的传播是无孔不入的，不管是陆上还是海上、又或者是天空，都有可能成为感染的源头。中国的防疫工作自然不用多说，然而并不是所有国家都如中国一样负责，一些不发达的国家也没有这样的实力，所以最终的结果就只能是任由疫情发展。巴西只是其中一个个例，其实不管是南美还是非洲，这样的国家都不在少数，如果不能控制源头，紧靠疫苗是无法做到彻底消灭疫情的。世卫组织负责人范克尔克就表示，想要让疫情彻底的消失，除了必须的接种疫苗外，还需要有其它的遏制手段，比如保持社交的距离、长期佩戴口罩以及不要参加聚会等等。范克尔克的建议是非常有效的，中国在疫情爆发之初也正是这么做的，然而全世界只有一个中国！特别声明：以上内容(如有图片或视频亦包括在内)为自媒体平台“网易号”用户上传并发布，本平台仅提供信息存储服务。Notice: The content above (including the pictures and videos if any) is uploaded and posted by a user of NetEase Hao, which is a social media platform and only provides information storage services.",网易新闻
