标题,时间,URL,正文内容,来源
2021年4月20日松原市卫生健康委关于新型冠状病毒肺炎疫情情况通报,55分钟前,http://www.thepaper.cn/newsDetail_forward_12296995,2021年4月20日松原市卫生健康委关于新型冠状病毒肺炎疫情情况通报_政务_澎湃新闻-The PaperXX报料注册登录下载APP精选视频上直播拉近你与现场距离七环视频为了更美好的生活温度计深度记录社会冷暖一级视场及时现场，洞察财经事件World湃看见新闻全球化湃客科技聚焦前沿，展现新兴企业纪录湃纪录澎湃中国围观以影像介入社会生活@所有人所有人在看大都会看上海 最都会追光灯让你看到文艺生活运动装直观运动，可以装不要伪装健寻记追寻活到一百岁的秘诀AI播报互联网新闻+：AI播报眼界每日一条视频，与新闻同步关键帧核心15秒，最关键的瞬间世界会客厅见他者，知世界时事中国政库洞悉中国动向的时政解读中南海权威细致的领导人报道初心之路探寻红色原力，展望中国未来舆论场倾听复杂世界的弦外之音打虎记中国反腐报道第一平台人事风向快速专业的人事信息集合地法治中国司改风向，法治观察一号专案司法个案，法治调查港台来信感觉不一样的港台报道长三角政商解读区域政情与财富故事直击现场第一现场，文图视频直播公益湃记录公益发展，共建责任生态。暖闻人间真善美，社会正能量。澎湃质量报告打假除劣，破套防坑——专注消费者权益保护绿政公署环境与公共健康调查澎湃国际All News In外交学人New World Order澎湃防务Cyclopedia for military唐人街海外利益，华人故事澎湃人物提供最有态度的人物报道浦江头条上海每天最重要的事件教育家最先进的教育理念在此碰撞全景现场360度感识全景现场美数课数字是骨骼，设计是灵魂快看快看，图片会说话财经10%公司派发上市公司变革红利能见度能源行业最具穿透力的思想地产界地产界所有你想知道的事儿财经上下游跨界找寻市场常识金改实验室金融创新灵感集散地牛市点线面简单专业时尚的财富平台科技湃让我们走近科学澎湃商学院品牌课外书，生活经济学自贸区连线自贸区第一信息和服务平台进博会在线走进中国国际进口博览会澎湃号湃客政务媒体思想社论澎湃的立场澎湃评论在这里知道更多思想湃明亮的对话，澎湃的思想上海书评全球百位华文写作名家撰稿思想市场有竞争的思想讲底蕴的政治私家历史发现历史之美翻书党微时代的首选书单艺术评论独立态度解析中外艺术热点古代艺术巡礼人类的艺术遗产文化课关注人文景观投身人类文明逝者记录逝者为世界留下的财富澎湃研究所为中国城市问题提供澎湃方案。市政厅中国城市问题专家城市漫步人塑造地方，地方也塑造人智库报告展示全球最具价值的智库研究成果专栏名家专家，上天入地异次元打破次元壁海平面远，不止于平面一问三知万象新知，尽在问答之间。生活有戏陪你过一种审美的生活文艺范一线文艺生活身体探索身体的奥秘私·奔跑步是一种态度运动家看体育如何改变世界私家地理旅途的旨趣、技艺以及乡愁非常品用态度引领时尚楼市不一样的楼市观察生活方式更好生活，我们有一些意见澎湃联播半个段子兽半个评论猿视界视界观，观世界亲子学堂理解孩子，认知自己赢家直击中国体育产业生存现状汽车圈专注汽车产经报道战疫战疫防控新型冠状病毒肺炎。问吧订阅把你最喜欢的栏目添加到这里来哦马上登录澎湃号&gt;松原发布2021年4月20日松原市卫生健康委关于新型冠状病毒肺炎疫情情况通报2021-04-20 22:55来源：澎湃新闻·澎湃号·政务字号超大大标准小松原发布关注当前，松原市全域为低风险地区。4月19日0-24时，全市无新增确诊病例和无症状感染者。截至4月19日24时，全市连续91天无新增无症状感染者，连续86天无新增确诊病例。自2020年1月以来，全市累计报告新冠肺炎确诊病例6例，已全部治愈出院。提醒广大市民，当前“外防输入、内防反弹”形势依然严峻，请大家自觉遵守疫情防控常态化措施，做到“戴口罩、勤洗手、不聚集、讲卫生、常通风、保持安全社交距离”，一旦出现发热、咳嗽等急性呼吸道症状，请佩戴医用口罩及时到当地定点医疗机构发热门诊就诊。,澎湃新闻
火葬场焚化尸体数远超官方死亡数据!印度新冠疫情数据遭质疑,环球网,https://baijiahao.baidu.com/s?id=1697538792817938483&wfr=spider&for=pc,据路透社报道，印度古吉拉特邦火葬场内的煤气炉和柴火炉已经连续工作了很长一段时间，在新冠疫情期间还从来没有停下过，设备上的金属零件甚至都已经开始熔化。这一情况招致了外界怀疑，印度官方披露的新冠肺炎死亡病例数量是否准确。路透社称，根据火葬场和公墓工作人员的说法、媒体的报道以及对政府数据的审视显示，印度一些大城市报告的火葬和土葬数量远超过官方报告的新冠肺炎死亡病例。与此同时，印度卫生系统已经十分薄弱，医院人满为患，氧气和药品短缺。19日当天，印度报告了273810例新增感染病例，死亡病例1619例。目前，印度的新冠肺炎确诊病例总数已经超过1500万，仅次于美国。专家称，可靠的数据是政府为应对新冠疫情做出任何反应的关键，如果没有可靠的数据，对医院病床数、氧气和药物供应的规划都会变得十分困难。有印度政府官员说，官方披露的新冠肺炎死亡病例与实际数据不匹配，可能是由多种因素引起的，其中包括过分谨慎。资料图古吉拉特邦一名高级卫生官员说，火葬数量的增加是由于尸体遵循“即使死者新冠病毒呈阳性的概率为0.1％”也要火化的新冠疫情防疫规范造成的。”这位官员说：“在许多情况下，患者入院时情况非常危急，在接受病毒检测之前就死亡。在某些情况下，患者被被送到医院时已经死亡，我们不知道他们是否阳性。”美国密歇根大学生物统计学和流行病学教授布拉玛尔·穆克吉（Bhramar Mukherjee）表示，印度许多地方处于“数据拒绝”状态。她说：“一切都那么混乱不清，感觉好像没人清楚了解情况，这太令人生厌。”根据火葬场工作人员的说法，古吉拉特邦苏拉特市的Kurukshetra火葬场和 Umra火葬场在上周根据新冠防疫规范每天都焚化了超过100具尸体，远超该市每天大约25人死于新冠肺炎的官方数据。而苏拉特市另外一个名为Ashwinikumar的火葬场的管理人员指出，近几周，该火葬场的火葬业务增加了两倍，但他没有提供根据新冠防疫规范接收的需要火化的尸体数量。他说：“自1987年以来，我一直定期去火葬场，从2005年起一直从事火葬场的日常运营工作，但这些年来，我从未见过如此多的尸体被火化，即使是在1994年的鼠疫和2006年的洪水期间也没有。资料图路透社指出，根据新冠防疫规范焚化的尸体数据与官方报告的新冠肺炎死亡病例严重不符，这种情况也不仅仅出现在古吉拉特邦，印度北方邦、中央邦等也有类似情况。报道称，印度并不是唯一一个新冠肺炎统计数据遭到质疑的国家，但火葬场工人的证词和越来越多的学术文献显示，与其他国家相比，印度的死亡人数被低估了。穆克吉教授对印度第一波新冠疫情的研究得出的结论是，印度全国的新冠病毒感染人数是官方报告的11倍，这与其他国家开展的研究估计相符。印度的新冠肺炎死亡病例人数也比报告的数字高出二到五倍，远超全球平均水平。《柳叶刀》医学杂志去年指出，印度有4个邦的死亡病例数占到全国新冠死亡病例总数的65%，这些邦的死亡病例都是100%报告的。然而，在印度只有不到四分之一的死者会得到医学认证。这意味着在印度其他24个邦中的许多地方，真正的新冠肺炎死亡率可能永远无法得知。穆克吉说：“大多数死亡病例没有登记，因此就不可能进行验证计算。”举报/反馈,
"全球已有300万人死于新冠疫情,印度迎来新一轮大暴发",新民晚报,https://baijiahao.baidu.com/s?id=1697531887939174876&wfr=spider&for=pc,“这不是我们希望看到的局面。”在刚刚过去的周末，新冠疫情已经夺去了全球300万人的生命。面对还在不断上升的数字，世界卫生组织官员如此感叹。300万是什么概念？“这相当于失去了德国柏林、葡萄牙里斯本、乌克兰基辅或美国芝加哥全城人口。”《纽约时报》给出了直观的描述。图说：4月19日，工作人员在印度海得拉巴街头喷洒消毒剂 新华社眼下令人忧心的是，尽管疫苗已经问世，但获取和分配的不平等情况在全球仍然存在。与此同时，全球新冠肺炎确诊病例仍在快速增长，变异病毒仍在加速传播……印度：突然反弹，谜之走势印度卫生部19日通报，该国新增273810例新冠确诊病例，累计确诊病例破1500万。单日死亡病例为1619例，累计近179000例。当日，单日确诊病例和死亡病例双双创下纪录，疫情最严重的新德里宣布，从19日晚开始封城一周。新德里首席部长凯杰里瓦尔说：“如果我们现在不实施封锁，就会面临更大的灾难。”图说：4月19日，印度新德里居民在全城实施封锁前抢购酒品 新华社3月底开始，大批虔诚的印度教徒陆续抵达印度北部城市赫尔德瓦尔，参加全球最大的宗教朝圣节日——大壶节。4月11日，超过28万缺乏防护措施的印度教徒，从全印各地赶来，结果仅72小时内就有几百人确诊。数百万人跳入恒河沐浴，无数人聚集在街头互扔牛粪祈福……看到这热闹非凡、人头攒动的一幕幕，你就不难理解，印度疫情为何会在近日迎来疯狂反弹，再度冲上“世界第二”。印度疫情在去年9月达到顶点，此后单日确诊人数开始出现下降。然而到了今年3月，单日确诊人数突然暴增，4月5日在突破单日10万大关后，每天都在刷新纪录。4月17日当天，单日确诊病例数已超过26万。不仅是疫情出现了谜之走势，作为全球最大的疫苗生产商，印度还出现了“疫苗荒”。印度在今年初启动了疫苗接种计划，但到目前为止，只有1430万人接受了全程疫苗接种，这一数字仅占印度人口的1%。“我们希望每天至少为10万人接种疫苗，但目前的供应量明显不足。”拥有超过2700万人口的旁遮普邦卫生官员说。前印度医学研究理事会总干事甘古力表示，造成短缺的原因有很多，但最重要的是原材料的供应。“印度有生产能力，但在大流行期间，供应链已经中断。”甘古力说，“疫苗配方和所需材料不能在一夜之间改变，因此我们必须依靠进口的原材料。”目前，美国已临时禁止出口对疫苗生产至关重要的原材料，欧盟同样也加强了对疫苗出口的限制。此外，来自英国、南非和巴西的更具传染性的病毒新变种也推动了疫情的加速扩散。印度一些医学专家认为，病毒新变种是导致近期单日确诊数疯狂增长的罪魁祸首。例如，在疫情最为严重的马哈拉施特拉邦，大约20%的确诊病例是由名为“B.1.617”的双重变异新变种病毒所致。莫迪政府却仍对战胜此轮疫情保持乐观，总理莫迪表示将不会采取全面封锁措施。瞻前顾后的印度政府、似乎毫不在意的印度民众、不断变异的病毒变种、规模巨大的宗教集会……这些因素叠加在一起，便酝酿了一场印度史上极为疯狂的疫情大暴发。日本：东京奥运或将取消？就在印度在面对汹涌疫情再度来袭之时，日本还在纠结东京奥运会到底要不要开。距离东京奥运会举办已不到100天，但在刚过去的周末，东京新增病例却到达两个多月来新高，市政府不排除再度实施防疫紧急状态。大阪近来单日新增病例也连创新高。大阪府知事称，将要求中央政府再次宣布该市进入紧急状态。图说：4月15日，人们佩戴口罩在日本东京街头出行 新华社随着日本疫情愈发严峻，加上民众对奥运会方案的不满，东京奥运会能否如约举行，仍要打上问号。15日，日本自民党二号人物、干事长二阶俊博表示，如果迫不得已，取消东京奥运会“也应该作为一个选项。”“如果实在无法办下去，我们应该毫不犹豫地取消，如果因为举办奥运会导致疫情扩散，我不知道举办奥运会还有什么意义。”二阶俊博的表态如同一枚“炸弹”，引发社交媒体的讨论热潮，并登上了当天的推特热搜。不少日本民众在社交媒体上“投赞成票”，称这次夏季奥运会“是该取消了”。《朝日新闻》的调查显示，在1551名受访者中，希望在今年夏天举办奥运会的受访人占28%，希望奥运会再次延期的占34%，希望取消东京奥运会的占35%。但奥运会取消与否，归根到底还是本“经济账”。国际货币基金组织高级官员表示，取消或推迟奥运会可能不会对日本经济造成太大伤害，但会对东京的服务业产生很大影响。数字背后的悲痛根据世卫组织的报告，全球新增新冠病例连续第七周增加。“上周，全球新增病例超过440万例。一年前，这个数字是50万例。”世卫组织卫生紧急项目技术主管科霍夫表示，现在病例数呈“指数级增长”。在新冠疫情最严重的美国，最近调查数据显示，每10人中就有近3人表示，他们有亲友因感染新冠病毒死亡。《美国医学会杂志·儿科学》刊文指出，在过去1年中，有37300名至43000名美国儿童因新冠疫情失去至少父母一方，其中非洲裔儿童受影响最大。英国伦敦泰晤士河畔的墙壁上，一片“红心海洋”吸引了人们的驻足。“海洋”里每一个红心，代表着一位死于新冠的英国人。宝拉·史密斯一边在墙面上画着“心”，一边流下了眼泪。她在上面用黑色的字体写着：“弗兰克·史蒂文斯，1941-2020”，向逝去的父亲致敬。令人悲哀的是，随着更多生命的逝去，墙上的心形图案还在增加，“海洋”还在不断扩大。回归平静，对于那些失去亲友的人来说，并非易事。当一颗心停止跳动，一个家庭就要迎来心碎时刻……王若弦举报/反馈,
印度总理莫迪:印度正再次大力抗击新冠肺炎疫情,27分钟前,http://forex.cngold.org/fxb/c5528898.htm,随着油价大跌，美元兑加元涨幅扩大到0.32%，刷新近四个交易日高点至1.2575，较日低回升近百点随着油价大跌， 美元兑加元 涨幅扩大到0.32%，刷新近四个交易日高点至1.2575，较日低回升近百点0西班牙马德里法院表示，在充分考量欧洲超级联赛之前，欧足联和国际足联不得对参加欧洲超级联赛的俱乐部和球员实施制裁西班牙马德里法院表示，在充分考量欧洲超级联赛之前，欧足联和国际足联不得对参加欧洲超级联赛的俱乐部和球员实施制裁0欧洲药品管理局安全委员会主席Sabine?Straus：不可能确定如性别或年龄之类的风险因素欧洲药品管理局安全委员会主席Sabine?Straus：不可能确定如性别或年龄之类的风险因素0欧洲药品管理局局长Cooke：尚未在欧盟发现强生疫苗导致的罕见血栓病例欧洲药品管理局局长Cooke：尚未在欧盟发现强生疫苗导致的罕见血栓病例0欧洲药品管理局局长Cooke：仍在继续调查疫苗欧洲药品管理局局长Cooke：仍在继续调查疫苗0美债10年收益率日内跌幅达到2.08%，报1.571美债 10年收益率日内跌幅达到2.08%，报1.5710官方文件：西班牙马德里法院做出初步裁决，禁止欧足联和国际足联阻止欧洲超级联赛的成立官方文件：西班牙马德里法院做出初步裁决，禁止欧足联和国际足联阻止欧洲超级联赛的成立0美国众议院司法委员会通过了一项法案，该法案将使欧佩克因减产而面临反垄断诉讼美国众议院司法委员会通过了一项法案，该法案将使欧佩克因减产而面临反垄断诉讼0返回金投首页返回外汇首页外汇行情走势更多》美元指数美元人民币澳元美元欧元美元英镑美元新西兰元美元美元加元美元瑞郎美元港币美元日元外汇走势图最新价--涨跌幅--今开价--昨收价--最新价--涨跌幅--今开价--昨收价--最新价--涨跌幅--今开价--昨收价--最新价--涨跌幅--今开价--昨收价--最新价--涨跌幅--今开价--昨收价--最新价--涨跌幅--今开价--昨收价--最新价--涨跌幅--今开价--昨收价--最新价--涨跌幅--今开价--昨收价--最新价--涨跌幅--今开价--昨收价--最新价--涨跌幅--今开价--昨收价--热门推荐今日热榜本周热榜1比特币飙升突破5万美元 真正厉害的还在后头？2经济数据表现靓丽 美元走高如沐春风3德拉基就职意大利总理 欧元前景仍令人担忧4英镑/美元大涨近50点 领涨其它货币对5澳元走势正酝酿突破 机构仍看涨后市前景6三天上涨逾10%！比特币价格突破48000美元7美国劳动力市场存忧 美元创二个月来最大周跌幅8英镑连续第五周收涨 年底将迈向1.50关口财经日历美国至4月17日当周红皮书商业零售销售年率20:55前值：13.2公布值：13.5预测值：--外汇学院更多》外汇学习知识：汇率变动对国内经济的影响有哪些?当今社会是一个大家族，两国之间...[详情]什么是炒汇率?外汇汇率是什么意思外汇技巧知识学习：外汇交易入门的十大交易策略和技巧美国大选选举日投票正式开始！澳洲联储将基准利率维持不变货币专栏人民币美元欧元英镑澳元加元瑞郎日元韩元新元港币台币外汇计算器更多》外汇兑换计算器外汇储蓄计算器外汇利润计算器外汇点值计算器外汇保证金计算器外汇买卖计算器购汇结汇外汇专题更多》大通金融MEXGROUP每周策略2021.04.20NAG Markets市场评论 - 20/04/2021美国和德国国债收益率持稳 美元遭遇抛售跌至数周低点美股期货则小幅下挫 美债收益率日内一度走软免责声明金投网发布此文目的在于促进信息交流，不存在盈利性目的，此文观点与本站立场无关，不承担任何责任。部分内容文章及图片来自互联网或自媒体，版权归属于原作者，不保证该信息（包括但不限于文字、图片、图表及数据）的准确性、真实性、完整性、有效性、及时性、原创性等，如无意侵犯媒体或个人知识产权，请来电或致函告之，本站将在第一时间处理。未经证实的信息仅供参考，不做任何投资和交易根据，据此操作风险自担。,金投网
新冠疫情没能让世界冷却下来 过去一年又是最热一年,7小时前,https://new.qq.com/omn/20210420/20210420A093XY00.html,新冠疫情没能让世界冷却下来 过去一年又是最热一年_腾讯新闻新冠疫情没能让世界冷却下来 过去一年又是最热一年根据世界气象组织(WMO)发布的数据，去年是有记录以来全球平均气温最高的3年之一，比工业革命前(1850-1900)的水平高了1.2°C。4月19日，世界气象组织发表了《2020年全球气候状况报告》。报告宣称，2015至今的6年，是有记录以来最热的6年，而2011年至2020年则是有记录以来最热的10年。报告表示，即使是新冠疫情导致的全球经济活动停止，也没能阻止”包括温室气体排放在内的气候变化驱动因素。据统计，就全球气温而言，2020年刚好落后于2016年，也刚好领先于2019年，位列前三。根据世界气象组织发言人的说法，三者之间的差别非常小，都在误差范围之内。世界气象组织使用5个数据集――哥白尼计划、美国国家海洋与大气管理局、NASA、英国气象局哈德利中心和日本气象局――来统计全球数据，以得出一个全面的数字。总的来说，这份报告记录了气候危机的各种原因和影响，包括温室气体浓度、陆地和海洋温度升高、海平面上升、冰川融化和冰川退缩以及极端天气。自1993年第1份《气候状况报告》发布至今，28年的数据明显记录了陆地和海洋温度显著上升、海平面上升、海冰和冰川融化以及降水模式变化等其他变化。,腾讯网
综合消息:亚欧新冠疫情不容乐观 多国推进疫苗接种,新华社客户端,https://baijiahao.baidu.com/s?id=1697483587873055366&wfr=spider&for=pc,新华社比什凯克4月19日电 综合新华社驻亚欧地区记者报道：亚欧地区新冠疫情形势整体仍不容乐观，多国正加紧推进新冠疫苗的生产和接种工作。俄罗斯防疫指挥部19日报告，该国当日新增确诊病例8589例，累计确诊4710690例，累计死亡105928例，累计治愈4333598例。哈萨克斯坦卫生部19日报告，该国新增确诊病例2719例，累计确诊289720例，累计治愈248096例。据统计，哈全国目前已有69万人接种新冠疫苗。哈当前疫情形势严峻，全国仅有2个地区为疫情传播风险较低的“绿色”地区。据乌克兰卫生部19日消息，过去一天该国新增新冠确诊病例6506例，累计确诊1953016例，累计死亡40000例，累计治愈1487677例。截至18日，乌克兰有450645人完成首剂新冠疫苗接种。据白俄罗斯卫生部19日消息，过去一天该国新增确诊病例887例，累计确诊345110例，累计死亡2433例，累计治愈335485例。白俄罗斯总统卢卡申科17日表示，白方将生产足够剂量的疫苗，为境内居民接种。根据格鲁吉亚政府防控新冠肺炎疫情网站19日公布的数据，格鲁吉亚新增确诊病例578例，累计确诊295936例，累计治愈281574例，累计死亡3949例。格鲁吉亚国家疾控中心主任加姆克列利泽18日表示，该国当前疫情形势较3月份明显恶化，单日新增病例、死亡病例等指标都在上升，可以确定第三轮疫情已经到来，预计4月底、5月初本轮疫情将达到顶峰。吉尔吉斯斯坦新冠肺炎防控指挥部19日数据显示，该国在过去24小时内新增新冠确诊病例212例，累计确诊92095例，累计死亡1555例，累计治愈87056例。乌兹别克斯坦卫生部19日报告，该国新增确诊病例302例，累计确诊86982例，累计死亡638例，累计治愈84307例。自本月1日启动新冠疫苗大规模接种以来，截至17日该国累计接种疫苗人数达403136人。自18日起，乌兹别克斯坦加大新冠疫情防控力度，措施包括餐厅和公交车内人数不得超过额定座位的一半、加强公共场所测量体温和消毒等。（执笔记者：关建武；参与记者：魏忠杰、张继业、李铭、蔡国栋、李东旭）举报/反馈,
新冠疫情使全球乳胶手套市场需求成倍增加,57分钟前,http://field.10jqka.com.cn/20210420/c628735324.shtml,新冠疫情使全球乳胶手套市场需求成倍增加同花顺财经股票财经同顺号原创个股行情数据圈子猎金基金股票每日必读新股频道个股滚动新闻同花顺原创股指期货创业板港股频道美股频道财经财经要闻互动平台国内经济国际经济宏观经济财经人物产经新闻名家名家一览精华频道市场行业外汇研报行情中心沪深市场香港市场美国市场全球股市概念板块数据中心业绩预告新股上会资金流向龙虎榜高送转大宗交易融资融券公告速递今日利好公告投资工具早盘必读机会情报投资日历异动观察每日复盘股市温度计7X24小时四大报精华同花顺出品基金同花顺圈子猎金i问财智能选股股民学校模拟炒股软件下载同花顺免费版大战略财富先锋level-2实时港股股指期货智能交易全新体验版查看网站地图让投资变得更简单首页&gt;行业&gt;行业动态&gt; 正文新冠疫情使全球乳胶手套市场需求成倍增加2021-04-20 22:52:26来源：商务部网站收藏(0)微博微信用微信扫描二维码分享至好友和朋友圈QQ空间扫一扫用微信扫描二维码分享至好友和朋友圈泰国乳胶手套制造商公会指出，新冠疫情之前全球乳胶手套的需求年增长10%，而2020年全球乳胶手套市场需求增长超过20%，并预测今年的增幅不会低于10%。Sri Trang公司是泰国最大的乳胶手套制造商，2020年该公司净利润增长高达6418%，第四季度净利润增长7331%。该公司总经理表示，目前多个国家正在为国民接种疫苗，但并不意味着可以立即控制疫情，在产生群体免疫效果之前乳胶手套都是防疫必需品之一。该公司计划未来六年投资440亿泰铢，以在2026年将乳胶手套的生产量达到1000亿个。,同花顺财经
德阳市新型冠状病毒肺炎疫情最新情况(4月20日),6小时前,https://new.qq.com/omn/20210420/20210420A096UC00.html,德阳市新型冠状病毒肺炎疫情最新情况（4月20日）_腾讯新闻德阳市新型冠状病毒肺炎疫情最新情况（4月20日）健康德阳官微引领健康生活  打造健康德阳4月19日，德阳市无新增新冠肺炎确诊病例，无新增无症状感染者。截至4月19日24时，德阳市累计报告确诊病例18例，出院18人。累积报告境外输入无症状感染者2人。,腾讯网
博鳌亚洲论坛2021年年会深度报道(十一):新冠疫情带来的思考,9小时前,http://www.thepaper.cn/newsDetail_forward_12295181,突如其来的新冠肺炎疫情使全球公共卫生体系遭遇重大考验。如何筑牢国际和各国国内的公共卫生防护网？应对重大公共卫生危机？4月19日下午，在博鳌亚洲论坛2021年年会论坛《应对重大公共卫生危机》上，中国医药保健品进出口商会副会长孟冬平，博鳌亚洲论坛理事、新西兰前总理珍妮·希普利，新加坡前副总理、凯腾控股董事长黄根成，山东省副省长孙继业，红十字国际委员会主席彼得·毛雷尔，招商局集团总经理胡建华，武田制药湘南健康创新园区负责人、武田制药全球公共事务部负责人藤本利夫，中药质量研究国家重点实验室主任王一涛围绕这些问题进行了讨论。从疫情中吸取的教训“我们从这场疫情中汲取到的教训，就是早期进行识别，并且要有很好的统计系统，对聚集性疫情进行更好的分析，了解个人的行动轨迹，就能够在疫情传播前尽早消灭，并且要求每个公民都要负起责任来。”珍妮·希普利说到，“现在疫情的规模如此之大，我们更需要的是多边合作，只有这样未来才能真正地成功。”对于从新冠疫情中吸取到的教训，黄根成表示，首先，加强国内公共卫生体系的韧性，早期的识别、检测、控制措施是关键。他说，“我们也是死亡率最低的国家之一。之所以出现这么低的感染率和死亡率，离不开新加坡所有公民、政府以及全社会的努力。我们必须加强城市的公共卫生应急措施，加强基础设施的建立和系统的建立，要不断加强社会和经济网络，以更好地应对疫情，减少冲击。”黄根成还提到，为了恢复社会的活力，每个阶段都采取了不同的措施，包括促进就业。此外，也要确保供应链的连通，确保在这个过程中供应链的稳定和开放。“最后一点，国际合作至关重要，只有所有人健康了我们才是健康的，要加强与国际组织的合作，需要世界卫生组织支持疫苗机制的安排。”他说。彼得·毛雷尔则从国际组织授权的角度来探讨这个问题，他说，“首先，我们加强了医疗系统，做了很多预防措施；其次，我们需要公众和社群的信任，我们必须加强这种信任关系；第三，此次疫情显示出我们要加强治理，尤其是医疗系统的治理；第四，应对的速度；最后，不同的情况都有它的具体性，因此一定要在全球框架、具体情况、本地情况之间找到一个平衡点，要兼顾全球和具体。”“我们需要加强创新医药研发，及时给到公众。”藤本利夫则从生物制药的角度提出见解，“此次疫情中我们看到，公司、政府通过PPP的形式责任共担，还提供了设施等各方面的合作。现在的世界是互联互通的，无论是全球还是地区，都需要建立良好的生态系统。我们需要团结各界，共同应对公共卫生危机。”疫情期间要确保供应链的稳定“我们认为，应对疫情的爆发，需要通过多边机制，尤其是要进行科学的共享。”珍妮·希普利表示。此外她还提出，需要在应对疫情的过程中确保供应链的稳定，使人们获得疫苗。这些问题是可以解决的，但是必须快速行动。黄根成也对这一观点表示赞同，他说：“港口、机场要保持开放。同时，在机场、港口的工作人员需要得到必要的保护。如果他们倒下了，没有人可以获得健康。所以，疫苗一出现，我们首先提供给这些关键岗位的工作者。在新加坡，我们必须要确保自己的供应链开放。海港和机场都要保持开放，也需要和其他国家保持合作。”医疗健康产业的创新和可持续发展“山东制药产业是在全国领先的，山东省在新动能转换中，把医养健康产业作为全省大十大产业之一，并且作为五大新兴产业，一方面要发展好传统的医药产业优势，另一方面是在生物医药高新技术方面努力。”孙继业说。王一涛以澳门为例，强调中华医药的创新理念。他提出，澳门回归以来，历届特区政府都把中医药教育与产业发展作为突破产业瓶颈、实现多元发展的途径之一。那么，怎样通过澳门这样一个东西方文化和科技交融结合的点，来促进中西药的国际发展？王一涛表示，一是产品，二是产业，三是市场。国家重点实验室的名字里有一个最重要的关键字——“质量”。中医药要走向世界，关键是生产高品质的中医药产品。这就需要为中医药的质量、安全性、有效性、可控性和稳定性找到科学的依据。这种科学依据是我们走向国际、令大家信服的关键。其次，因为中医药产业是一个很长的产业链，种植、加工、制造、流通和进入临床，在这个产业链当中，我们要更好地完善创新生态，完成一个产业真正的创新，建立质量保障体系。对于中药的研发与创新，黄根成也表达了自己的看法。他说，新加坡对中医药的发展和研发有额外的举措，政府也为中医药研发以及技能培训专门下发了资金，涵盖了生产和各个流程方面。,澎湃新闻
控制新冠疫情效果显著 中国疫苗海外获赞,北京日报客户端,https://baijiahao.baidu.com/s?id=1697519425930296261&wfr=spider&for=pc,随着中国疫苗走向海外，多个国家接种中国疫苗的效果逐渐显现。无论是预防感染、避免重症还是整体控制疫情方面，中国疫苗都起到明显作用，广受赞誉。智利科技部长科韦18日表示，智利卫生部最新公布的中国科兴新冠疫苗保护效果的数据“令人振奋”。他说，研究显示，中国科兴疫苗在预防有症状感染、预防住院治疗、避免重症和因感染致死方面“非常有效”。智利卫生部16日公布的“真实世界研究”结果显示，科兴疫苗在第二剂接种14天后预防有症状感染的有效率为67%，预防住院治疗的有效率为85%，预防进入重症监护病房治疗的有效率为89%，避免因感染所致死亡的有效率为80%。“真实世界研究”是指通过收集真实世界环境中与患者有关的数据，获得医疗产品的使用价值及潜在益处或风险的证据。塞尔维亚目前使用的新冠疫苗大部分为中国国药集团疫苗。塞新冠疫情应对小组负责人普雷德拉格·科恩日前接受当地媒体采访时表示，得益于新冠疫苗的广泛接种，塞尔维亚疫情在很大程度上得到控制，其中在首都贝尔格莱德的成效尤为突出。科恩说，在贝尔格莱德，约34%的成年人已接种疫苗，每日新增新冠确诊人数明显下降，如今每日新增确诊已低于1000例。“没有人预料到这个数字会下降得这么快，这证明疫苗在贝尔格莱德很有效。”塞尔维亚通讯社15日公布的数据显示，截至目前，超过180万人在塞尔维亚接种至少一剂新冠疫苗，其中超过120万人完成两剂疫苗的接种。巴西圣保罗州布坦坦研究所11日公布中国科兴公司新冠疫苗在巴西Ⅲ期临床试验的最终研究结果，将该疫苗对含不需就医的轻症病例在内的所有新冠病例的保护效力从今年1月初公布的50.38%修正为50.7%，对有明显症状且需就医的新冠病例的保护效力从1月的78%修正为83.7%。这项研究由布坦坦研究所主导，目前已提交给医学杂志《柳叶刀》等待同行评审。美国彭博社日前援引两位澳大利亚专家观点撰文称，中国科兴疫苗预防新冠重症“极为有效”。彭博社日前就科兴疫苗的有效性等问题采访了澳大利亚默多克儿童研究所教授菲奥娜·吕塞尔以及昆士兰大学副教授、传染病和微生物学专家保罗·格里芬。吕塞尔说，科兴疫苗对于预防重症新冠感染“极为有效”，针对需要医疗干预的新冠感染的保护有效性约为84%，针对中度到危重新冠症状的保护有效性为100%。这正是大众对新冠疫苗的预期，即能够对感染重症提供更好的保护。来源 北京日报 据新华社流程编辑 邰绍峰举报/反馈,
